"";"Title";"N.Article";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"238";"A novel hybrid learning achievement prediction model: A case study in gamification education applications (APPs)";710;"Su C.-H.,";2017;"Article";"International Journal of Information Technology and Decision Making";"English";"ANFIS; Game design; Learning achievement prediction; Mobile gamebased learning system; Rough set";"Adaptive Neuro Fuzzy Inference System (ANFIS) used to be applied to finance, engineering, material design, and decision-making management in past research, but seldom to predict educational learning performance. In recent research, gamification learning material design is often applied to reinforce learning performance, while the prediction of gamification learning performance is seldom discussed. This study therefore applies Rough set theory to extract Core Set and generating rule, ANFIS for learning achievement predication. In order to evaluate the performance of proposed model, the VCCSEGLS dataset are collected as experimental dataset and compared with other models. The results show that the proposed method outperforms the listing models in accuracy. The three key factors are extract, (G7) Time spent on game-based learning, (L1) Examination, normal drugs and treatment, and (L2) Integration ability (time scoring, stability scoring, strain capacity, completeness scoring).The proposed model also can offer accurate predictions and provide some simple decision rules, which can be accurately used by decision-makers and game designers.";"02196220";1;"Taiwan";"Scopus"
"239";"A pilot intervention using gamification to enhance student participation in classroom activity breaks";291;"Beemer L.R., Ajibewa T.A., Dellavecchia G., Hasson R.E.,";2019;"Article";"International Journal of Environmental Research and Public Health";"English";"Children; Classroom-based physical activity; Game design; Intervention; Motivation; School health";"The purpose of this study was to determine the effect of adding game design elements (goal setting, feedback, and external rewards) to an evidence-based physical activity intervention to increase in-class physical activity participation (intensity of activity breaks performed). Nine third-through sixth-grade classrooms (n = 292 students) in one elementary-middle school in Detroit, Michigan (49% female, 95% nonwhite; 80% qualified for free/reduced lunch) participated in this 20-week intervention where teachers implemented 5 × 4 min moderate-to-vigorous activity breaks per day. Gamification of activity breaks occurred during weeks 13–20 of the intervention and included the use of game design elements and classroom goals for activity break intensity. Moderate-to-vigorous physical activity (MVPA) during activity breaks was measured via direct observation. There was a significant effect of intervention with a 27% increase in student MVPA participation during the gamified intervention weeks compared with the standard intervention weeks (p = 0.03). Gamification of activity breaks resulted in 55% (compared with 25% during the standard intervention) of students accumulating approximately 20 min of health-enhancing physical activity per day in their classroom. These findings provide preliminary evidence that gamifying activity breaks may be an important strategy for increasing student participation in classroom activity breaks. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.";"16617827";7;"United States";"Scopus"
"240";"A playful approach to fostering motivation in a distance education computer programming course: Behaviour change and student perceptions";609;"Pilkington C.,";2018;"Article";"International Review of Research in Open and Distance Learning";"English";"Distance learning; Gamification; Guided didactic conversation; Motivation; Self-determination theory";"The central role of motivation to learn in distance education has been noted, and gamification has been proposed as one approach to promote student motivation. This study explores promoting motivation in a distance education, third-year computer programming course via a gamified approach to improve coursework participation and student experience. Motivation was examined from a Self-Determination Theory (SDT) perspective, as gamified approaches often rely on external motivation and the explicit use of competition to engender internal motivation leading to desired behaviours. The results of using gamification in education are mixed, and its use is controversial. Two cycles of action research on the introduction of eight playful elements are reported on, and data relating to student engagement with the course and a student questionnaire was gathered. There was little evidence that the intervention led to behaviour change or improved scores; however, students responded very positively to the intervention, although some negative themes emerged. The extent to which the playful approach supported the basic psychological needs of SDT is discussed and the intervention's results critically considered, including whether the effort involved in such an approach was worth it. It was concluded that such playful approaches might have positive motivational effects. © 2018 Athabasca University.";"14923831";6;"South Africa";"Scopus"
"241";"A post-methods classroom finding: A pedagogical gaming approach in CALL";713;"Stoakley B.T., Kim J.-R.,";2017;"Article";"Information (Japan)";"English";"Big Data; CALL; Computer-assisted language learning; Elementary English Education; Games; Gamification; Multimedia; NVivo software";"Whilst elementary English education receives gaining attention in research circles, a concerted focus on the preferences of learners, especially regarding less-traditional methods, namely gaming, for second language acquisition have yet to gain momentum. Despite having a dearth of comparable qualitative research found to date that may be compared to this particular research, it is felt that data gleaned from this Big Data study may be extrapolated to the general student populace. Over a full year study, Monday through Friday on 48 elementary learners of English, NVivo 11 Pro was utilized to wade through the copious amount of information ranging from field notes, interviews, discussions, and transcripts of recorded classroom interactions. Data culled offered results to demonstrate that 87% of students' initial responses showed gaming to be their most preferred activity in English classes; however, subsequent investigations from themes and succeeding interviews facilitated data to show that unanimous agreement within the student body favored games the most for learning/language usage. The caveat in choosing games as the primary choice is that certain types of games or prerequisites be enacted; such as through, proper leveling, stimulation, competition, and/or cooperative work. Therefore, upon implementing the eight conditions of optimal language learning a post-methods curriculum in the gamification of English language acquisition was acquired and accepted by student and teacher alike. © 2017 International Information Institute.";"13434500";1;"South Korea";"Scopus"
"242";"A review of articles using gamification in nursing education";526;"Oak J.W.,";2018;"Review";"Asia Life Sciences";"English";"Gamification; Nursing; Nursing education; Systematic review";"This paper investigated the nursing research related to gamification and analyzed the contents and effects of the experimental research. A systematic literature review was conducted. The articles were searched electronically using the database with the keywords of “gamification” or “gamified” and “nursing”. Finally, six studies were selected among 80 studies. The study was conducted mostly by health care professionals including nursing s tudents (n = 4) a nd e ducation s ubjects (n = 5). ‘Reward’ was t he most c ommon gamification mechanism used in the study, and all studies were combined with various gamification mechanisms. In nursing education where participation and motivation of the subject are important, gamification can play an important role in educational effect. Nursing researchers’ interest in gamification is needed in the future, and it is necessary to develop scenarios suitable for educational situations and to check their effectiveness. © Rushing Water Publishers Ltd. 2018.";"01173375";1;"South Korea";"Scopus"
"243";"A review of intrinsic motivation elements in gamified online learning";669;"Saputro R.E., Salam S.B., Zakaria M.H.,";2017;"Review";"Journal of Theoretical and Applied Information Technology";"English";"Game design elements; Gamification; Intrinsic motivation elements; Online learning";"The advent of information and communication technology provides the opportunity and convenience to anyone to be able to follow online-based learning, so that teaching and learning can be arranged without limits of space and time. Today, online-based learning is offered by many higher education institutions and commercial industries. A variety of strategies to increase student motivation approach on online-based learning has been studied, one of them by using gamification approach. Previous researches were found to adopt motivational theories to stimulate the intrinsic and extrinsic level of gamification approach in education, According to the promise of gamification to enhance the intrinsic motivation of students based on elements of motivation through online-based learning, in this research, we focus on examining; 1) How the application of gamification in online-based learning is, 2) what game design elements that exist in the gamified-based online learning are, and 3) how to increase student motivation in gamified-online learning based on intrinsic motivation elements. The results of our study showed that gamification on online based learning increased, both regarding to utilization, approaches, methods, testing and determination of game design elements are used. Gamification also gave positive impact on student motivation in learning, although it depended on various factors and conditions. We provided reviews and examples based on the literature for the designer in determining the game design elements based on intrinsic motivation elements in the online-based learning. © 2005 – ongoing JATIT & LLS.";"19928645";10;"Malaysia";"Scopus"
"244";"A review of research questions, theories and methodologies for game- based learning";831;"Costa C., Tyner K., Henriques S., Sousa C.,";2016;"Article";"Journal of Content, Community and Communication";"English";"Game-based learning research; Gamification; Literature review; Media literacy";"One of the main tensions in both media studies and education studies can be found in the discourse on the impact of digital media on audiences and learners as connected to a dichotomy of risks and affordances. Contemporary forms of media literacy build on multiple forms of literacy to support critical analysis and critical production in a variety of forms as central to learning. This study reviews research on games and learning conducted from 2010-2016 and published in SAGE Publications, ACM publications, iEEE, Google Scholar and Science Direct databases from a sample of 52 peer reviewed articles. The review of the literature analyzes variables such as authorship, paradigms and learning theories, research questions and methodologies and type of the games used in game-based learning. The central research questions for this literature review build on a history of games for learning and seek to identify good practices that can be used to design meaningful learning experiences and to inform future research related to game-based learning. © 2016, Journal of Content, Community & Communication.";"23957514";6;"United States";"Scopus"
"245";"A review of the moodle gamification plugin “level up”: Using a moodle plugin to gamify learning of academic vocabulary";99;"Sinnott M., Xia L.A.,";2020;"Review";"International Journal of Computer-Assisted Language Learning and Teaching";"English";"Academic Word List; AWL; China; Coxhead; Engagement; Gamification; Level Up!; Moodle; Vocabulary Learning";"This software review evaluates the Moodle plugin Level Up, which aims to add a gamification element to this commonly-used online education platform. The reviewers report their use of the plugin, describing its strengths, weakness and future potential. In doing so, they share their experiences of using it during a recent project that developed a Moodle-based activity for study of the Academic Word List (AWL) at a Sino-British university in China. This activity aimed to enhance student engagement and motivation to learn more academic vocabulary, and Level Up was selected for its claimed gamification potential. The activity's end product, and student responses to it are considered, and positive recommendations are given regarding Level Up's potential for enhancing Moodle. Copyright © 2020, IGI Global. Copying or distributing in print or electronic forms without written permission of IGI Global is prohibited.";"21557098";NA;"China";"Scopus"
"246";"A ROS-based open tool for intelligent robotics education";39;"Cañas J.M., Perdices E., García-Pérez L., Fernández-Conde J.,";2020;"Article";"Applied Sciences (Switzerland)";"English";"Distance learning; Engineering education; Intelligent robotics; Open educational tool";"This paper presents an open-access platform for practical learning of intelligent robotics in engineering degrees: Robotics-Academy. It comprises a collection of exercises including recent service robot applications in real life, with different robots such as autonomous cars, drones or vacuum cleaners. It uses Robot Operating System (ROS) middleware, the de facto standard in robot programming, the 3D Gazebo simulator and the Python programming language. For each exercise, a software template has been developed, performing all the auxiliary tasks such as the graphical interface, connection to the sensors and actuators, timing of the code, etc. This also hosts the student’s code. Using this template, the student just focuses on the robot intelligence (for instance, perception and control algorithms) without wasting time on auxiliary details which have little educational value. The templates are coded as ROS nodes or as Jupyter Notebooks ready to use in the web browser. Reference solutions for illustrative purposes and automatic assessment tools for gamification have also been developed. An introductory course to intelligent robotics has been elaborated and its contents are available and ready to use at Robotics-Academy, including reactive behaviors, path planning, local/global navigation, and self-localization algorithms. Robotics- Academy provides a valuable complement to master classes in blended learning, massive online open courses (MOOCs) and online video courses, devoted to addressing theoretical content. This open educational tool connects that theory with practical robot applications and is suitable to be used in distance education. Robotics-Academy has been successfully used in several subjects on undergraduate and master’s degree engineering courses, in addition to a pre-university pilot course. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"20763417";3;"Spain";"Scopus"
"247";"A serious game for learning C programming language concepts using solo taxonomy";744;"Yassine A., Chenouni D., Berrada M., Tahiri A.,";2017;"Article";"International Journal of Emerging Technologies in Learning";"English";"Drag & drop; Gameplay; Pedagogical approach; Point & click; Programming; Serious games; Solo taxonomy";"This paper conducts a study to identify pedagogical approaches and gameplay techniques involved in the development of serious games for teaching scientific courses in general especially programming languages. The concept of serious games is increasingly popular and is considered as an innovative teaching practice since it is based on information and communication technology and gamification to foster learning. To this end, a serious game ""Perobo"" will be introduced and discussed. It is based on a set of gameplay techniques and pedagogical approaches used for teaching pointers, considered as a difficult concept in C programming language. The game is also based on a taxonomy design to define the learning levels.";"18688799";5;"Morocco";"Scopus"
"248";"A serious game for massive training and assessment of french soldiers involved in forward combat casualty care (3d-sc1): Development and deployment";836;"Pasquier P., Mérat S., Malgras B., Petit L., Queran X., Bay C., Boutonnet M., Jault P., Ausset S., Auroy Y., Perez J.P., Tesnière A., Pons F., Mignon A.,";2016;"Article";"JMIR Serious Games";"English";"Assessment; Care under fire; Education; Forward combat casualty care; Interdisciplinary collaboration; Medical simulation; Serious games; Simulation; Training; Virtual simulation";"Background: The French Military Health Service has standardized its military prehospital care policy in a ""Sauvetage au Combat"" (SC) program (Forward Combat Casualty Care). A major part of the SC training program relies on simulations, which are challenging and costly when dealing with more than 80,000 soldiers. In 2014, the French Military Health Service decided to develop and deploy 3D-SC1, a serious game (SG) intended to train and assess soldiers managing the early steps of SC. Objectives: The purpose of this paper is to describe the creation and production of 3D-SC1 and to present its deployment. Methods: A group of 10 experts and the Paris Descartes University Medical Simulation Department spin-off, Medusims, coproduced 3D-SC1. Medusims are virtual medical experiences using 3D real-time videogame technology (creation of an environment and avatars in different scenarios) designed for educational purposes (training and assessment) to simulate medical situations. These virtual situations have been created based on real cases and tested on mannequins by experts. Trainees are asked to manage specific situations according to best practices recommended by SC, and receive a score and a personalized feedback regarding their performance. Results: The scenario simulated in the SG is an attack on a patrol of 3 soldiers with an improvised explosive device explosion as a result of which one soldier dies, one soldier is slightly stunned, and the third soldier experiences a leg amputation and other injuries. This scenario was first tested with mannequins in military simulation centers, before being transformed into a virtual 3D real-time scenario using a multi-support, multi-operating system platform, Unity. Processes of gamification and scoring were applied, with 2 levels of difficulty. A personalized debriefing was integrated at the end of the simulations. The design and production of the SG took 9 months. The deployment, performed in 3 months, has reached 84 of 96 (88%) French Army units, with a total of 818 hours of connection in the first 3 months. Conclusions: The development of 3D-SC1 involved a collaborative platform with interdisciplinary actors from the French Health Service, a university, and videogame industry. Training each French soldier with simulation exercises and mannequins is challenging and costly. Implementation of SGs into the training program could offer a unique opportunity at a lower cost to improve training and subsequently the real-time performance of soldiers when managing combat casualties; ideally, these should be combined with physical simulations. © 2016 JMIR Publications Inc. All right reserved.";"22919279";22;"France";"Scopus"
"249";"A serious game for solving mathematical problems for children with ADHD [Un juego serio para la solución de problemas matemáticos para niños con TDAH]";294;"González Calleros C.B., García J.G., Rangel Y.N.,";2019;"Article";"Campus Virtuales";"Spanish";"ADHD; Emerging technologies; Gamification; Mathematics teaching-learning; Model driven development; Serious games";"This article describes the design and delivery of a serious game for solving mathematical problems for children with ADHD at elementary-level. The literature reviewed showed a lack of design principles applied to the development of serious games for children with ADHD and more particularly to learn mathematics. More and more in our context we have to consider alternative solutions including the use of technology in response to the special needs of this sector of the population. Our serious game was designed to meet thirteen children diagnosed with ADHD, six special education teachers, parents, as well as specialists in the care of the ADHD. The work that has been done with them consists of semi-structured interviews, observation by class intervals, a Wizard of Oz experiment and a CSUQ e to measure system usability, information quality, interface quality and overall user satisfaction. In this paper, we present the results, although not conclusive, are encouraging, as they show a high percentage of agreement between users' satisfaction and the serious game tested. At the same time, children and teachers showed motivation and enthusiasm in the use of these types of resources to promote children's learning, especially those diagnosed with ADDH. Possible future educational applications of the serious games are discussed. © 2019 Red Universitaria de Campus Virtuales. All rights reserved.";"22551514";4;"Mexico";"Scopus"
"250";"A systematic literature review focused on the use of gamification in software engineering teamworks [Una revisión sistemática de la literatura enfocada en el uso de gamificación en equipos de trabajo en la ingeniería de software]";708;"Hernández L., Muñoz M., Mejía J., Peña A., Rangel N., Torres C.,";2017;"Article";"RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao";"Spanish";"Collaborative work; Gamification; Gamification elements; Software engineering; Systematic literature review; Teamwork";"Nowadays, the gamification has been applied beyond of traditional games that we know, an example is their application in topics in software engineering education, where it supports the learning and the accomplishment of activities in projects. However, there is very few evidence of its implementation to improve the integration of team work members, where there are several factors involved in their performance. One of the most important factor is the collaborative work, fundamental skill that every software engineer should have. Based on the above mentioned, the adequate integration of a teamwork influences its performance. Therefore, the skills, knowledge and interactive style for each member it should be complemented, in order to get a high effective team. This study presents results of a systematic literature review focused in gamification uses to create a team, reducing its integration time and therefore, improve its performance.";"16469895";11;"Mexico";"Scopus"
"251";"A systematic review about gamification, motivation and learning in high school [Una revisiÓn sistemÁtica sobre gamificaciÓn, motivaciÓn y aprendizaje en universitarios]";184;"Prieto Andreu J.M.,";2020;"Review";"Teoria de la Educacion";"Spanish";"Education; Gamification; Higher education; Learning; Ludification; Motivation; Physical education; Undergraduate";"The gamified educational materials emphasize the interactive experience of the subject, its implication and autonomous decision-making in relation to the object of knowledge, information that it does not receive in a homogeneous and passive way, but that builds it through the personalized action of the game in a digitized environment. Gamification in higher education can provide to students better opportunities to develop commitment skills, increasing their motivation and making them more interested in what they are learning. The purpose of this review is to collect information, synthesize and integrate published works on the influence of gamification with the motivation and learning of students. With this, it is intended to establish the current state of knowledge on gamification in education, which will allow a better approach to future lines of research. Representative studies were identified through a systematic search in 4 databases: EBSCO SPORTDISCUS, SCOPUS, ISI and SCHOLAR GOOGLE, extracting data about the study design, participants, variables, instruments and results. We included 22 studies, 19 originals and 3 reviews of the literature. Initial evidence indicates that gamification in higher education motivates students and improves their learning, providing university students with better opportunities to develop commitment skills. The use of PBL (Points, Badges and Leaderboards) improves motivation and is considered as an adequate combination of mechanics in the implementation of any gamification process in higher education. Guidelines are indicated to maintain motivation and promote learning in the students. © 2020 Ediciones Universidad de Salamanca. All rights reserved.";"11303743";6;"Spain";"Scopus"
"252";"A systematic review of gamification research: In pursuit of homo ludens";539;"Bozkurt A., Durak G.,";2018;"Article";"International Journal of Game-Based Learning";"English";"Gameful Design; Gamification; Gamified Learning; Research Trends; Systematic Review";"Gamification is an innovative approach that aims to increase users' engagement and motivation and provide sustainable experiences. It has recently become widely known and is an approach that is being used in many fields. This article intends to identify and map trends and patterns in gamification research. For this purpose, this article employs a systematic review in which document and content analysis were used. Research findings have revealed that conceptual/descriptive papers outweigh other type of papers; however, quantitative and qualitative papers are showing an increasing trend. Lexical analysis demonstrated that education, teaching, and learning; engagement, motivation, and behavior change, and gamified designs, are emerging concepts. Keyword analysis revealed that gamification, engagement, and motivation are most frequently used keywords. Gamification articles are mostly related to the education field. Self-Determination Theory, Flow Theory, and MDA (Mechanics, Dynamics, and Aesthetic) Framework appeared to be the most beneficial lenses in gamification studies. Copyright © 2018, IGI Global.";"21556849";7;"Turkey";"Scopus"
"253";"A systematic review of literature on methodologies, practices, and tools for programming teaching";562;"Borges R.P., Oliveira P.R.F., Lima R.G.D.R., De Lima R.W.,";2018;"Article";"IEEE Latin America Transactions";"Portuguese";"Systematic Review of Literature; Teaching of Programming";"It has been frequent the discussion about the teaching and learning of Programming, from the initial series to the undergraduate courses. It is noticed that many students have difficulty to learn programming by several reasons: methodology, tools, programming languages, lack of programming logic in basic education, motivation, among others. Thus, this carries out a survey of the state of the art of existing and documented approaches in the literature, through a mapping of published works in the last five years (2012 to 2016) in two of Brazils leading scientific computing platforms (CEIE and RENOTE), whose focus is to present solutions that address methodologies and tools that can be used in the different teaching modalities. As methodology was used the Systematic Review of Literature. As a result, it was found that, although studies still focus on higher education, in recent years there has been an increasing interest in programming teaching projects for children and teenagers, using gamification and tools such as Scratch. The results also demonstrate the growing interest of researchers in the search for approaches that provide better results in this area. © 2003-2012 IEEE.";"15480992";5;"Brazil";"Scopus"
"254";"A systematized review on diabetes gamification";194;"Asadzandi S., Sedghi S., Bigdeli S., Sanjari M., Sanjari M.,";2020;"Article";"Medical Journal of the Islamic Republic of Iran";"English";"Diabetes; Educational game; Gamification; Serious game; Video games";"Background: Gamification is an effective tool used to enhance the quality of education and training, to create motivation and enthusiasm, and to maintain competitiveness in the targeted population. Given that, the present study is an attempt to review gamification used in the field of diabetes systematically and its effects on the target group. Methods: Articles were retrieved from eight databases via an electronic advanced search. The data were imported to Endnote; and to assess the quality of the articles, PRISMA and CASP were used. Finally, according to the inclusion criteria, the appropriate articles were selected. Results: This study indicates that physical activity and nutrition were the most frequent diabetic subgroups in diabetes gamification. In addition, all diabetes gamification programs were designed to educate, teach skills and make behavior improvement in diabetics. Conclusion: Diabetes gamification have the capacity to change health behaviors among all age groups and can create an innovative, attractive and interactive learning environment accompanied by fun and engagement. Professor, Health Management and Economics Research Center, Iran University of Medical Sciences, Tehran, Iran; Librarianship and Medical Information Science, Iran University of Medical Sciences, Tehran, Iran. Copyright© Iran University of Medical Sciences";"10161430";NA;"Iran";"Scopus"
"255";"A thematic review of argumentation studies at the K-8 level";756;"Baǧ H., Çalik M.,";2017;"Article";"Egitim ve Bilim";"English";"Argumentation; K-8 level; Science education; Scientific discourse; Thematic review";"This research aimed to thematically review the argumentation studies at the K-8 level from 2006 to 2016. Given the criteria 'the K-8 level and a period of 2006-2016' for the argumentation studies, relevant databases yielded a total of 73 articles and 9 theses. These studies were exposed to thematically content analysis via such parameters as aim, method/design, sample, data collection, data analysis, subject employed for argumentation, type of used argumentation, argumentation model, general knowledge claim and recommendation. The results indicated that most of the argumentation studies examined the effect of argumentation on student achievement and attitudes towards science. Also, these studies under investigation mostly used experimental research design while generally preferring scales and audio-video records for data collection tools. Moreover, the argumentation activities were mostly developed in 'physics' topics and middle school level. The results of the current study suggest to deploy different methods (e.g. argumentation accompanied with gamification) to improve argumentation skills from primary school level.";"13001337";13;"Turkey";"Scopus"
"256";"A Web-Based Gamification Program to Improve Nutrition Literacy in Families of 3- to 5-Year-Old Children: The Nutriscience Project";379;"Azevedo J., Padrão P., Gregório M.J., Almeida C., Moutinho N., Lien N., Barros R.,";2019;"Article";"Journal of Nutrition Education and Behavior";"English";"families; gamification; kindergarten children; nutrition literacy";"Objective: Assess the impact of a web-based gamification program on nutrition literacy of families and explore differences in impact by socioeconomic status. Design: Quasi-experimental. Setting: Thirty-seven kindergartens from Portugal. Participants: Eight hundred seventy-seven families. Intervention: Web-based social network of participants' interactions, educational materials, apps and nutritional challenges, focused on fruit, vegetables, sugar, and salt. Main Outcome Measures: Parental nutrition literacy (self-reported survey – 4 dimensions: Nutrients, Food portions, Portuguese food wheel groups, Food labeling). Analysis: General linear model – Repeated measures was used to analyze the effect on the nutrition literacy score. Results: Families uploaded 1267 items (recipes, photographs of challenges) and educators uploaded 327 items (photographs, videos) onto the interactive platform. For the intervention group (n = 106), the final mean (SD) score of nutrition literacy was significantly higher than the baseline: 78.8% (15.6) vs 72.7% (16.2); P <.001, regardless of parental education and perceived income status. No significant differences in the scores of the control group (n = 83) were observed (final 67.8% [16.1] vs initial 66.4% [15.6]; P =.364). Conclusions and Implications: Gamified digital interactive platform seems to be a useful, easily adapted educational tool for the healthy eating learning process. Future implementations of the program will benefit from longer time intervention and assessment of the eating habits of families before and after intervention. © 2018 Society for Nutrition Education and Behavior";"14994046";7;"Portugal";"Scopus"
"257";"A Wide View on Gamification";349;"Albertazzi D., Ferreira M.G.G., Forcellini F.A.,";2019;"Article";"Technology, Knowledge and Learning";"English";"Gamification; Keyword map; Literature review; Method; Panoramic research map; Research map";"This paper presents an overview of gamification research. It introduces a panoramic research map that comprises a research map and keyword maps for each year of publication of research on gamification. The panoramic research map resulted in a detailed view of gamification research: covered areas, types of published papers, gaps, and most researched themes. The main area of research on gamification is related to the education and training domain, showing a strong connection to the use of game design elements and game experience to improve educational scenarios among students. Knowing the panoramic research map aids the development of future research on gamification, helping in the identification of important papers, gaps in the knowledge, and relevant papers for future research. As an additional outcome, the panoramic research map might also be used to understand other fields of research or specific themes besides gamification. © 2018, Springer Nature B.V.";"22111662";3;"Brazil";"Scopus"
"258";"‘Escapando de la clase tradicional’: The escape rooms methodology within the spanish as foreign language classroom [‘escapando de la clase tradicional’: La méthodologie de les jeux d’evesion dans la clase d’espagnol comme langue étrangère] [‘escapando de la clase tradicional’: A metodologia das “escape rooms” na sala de aula de espanhol como língua estrangeira] [‘escapando de la clase tradicional’: La metodología de las salas de escape en el aula de español como lengua extranjera]";488;"da Cruz M.R.D.F.,";2019;"Article";"Revista Lusofona de Educacao";"English";"Escape room methodology; Gamification; Spanish as foreign language";"The escape games or the so-called escape rooms industry is boom-ing nowadays. Due to the fact that this type of live-action team-based games (Nicholson, 2016) require a great deal of communication and critical thinking, it is quite easy to think of its application at education. This paper aims at discussing on how to use escape room concepts for educational purposes and, more specifically, in Spanish as Foreign Language (SFL) classroom. Moreover, it is also our aim to present a case study in which students were invited to both create and participate in an escape room. Therefore, we will be focusing on escape room design applied to the teaching of SFL setting, taking into consideration game narratives, puzzle types and rooms organisation aspects. By following an ethnographic methodological approach, a case study was undertaken in which the following data-collection tools were used: a) questionnaires to figure out students’ perceptions on escape rooms and on the influence of escape room methodologies onto the development of skills; b) field notes, pictures and videos collected during the application of the escape room activities.The main results show that students considered both escape rooms catered for the development of 21st century skills. © 2019, Edicoes Universitarias Lusofonas. All rights reserved.";"16457250";1;"Portugal";"Scopus"
"259";"“Earthquake in the City”; using real life gamification model for teaching professional commitment in high school students";522;"Alhosseini S.S.N., Pourabbasi A.,";2018;"Article";"Journal of Medical Ethics and History of Medicine";"English";"Adolescents; Education; Gamification; Professional commitment";"Professional commitment plays a significant role in all professions. Moreover, schools are valuable fields for teaching the principles of these concepts especially through novel methods such as gamification. ""Earthquake in the city"" was implemented in a school in Tehran, Iran, and its effectiveness on learning the concepts of professional commitment was evaluated. ""Earthquake in the city"" was built based upon a fantasy scenario occurring in an imaginary city. Each student took on a role in the city (citizen or healthcare provider). After finishing the game, participants were asked about the concept of professional commitment. Their definition was scored by a group of medical ethics experts separately in terms of compliance with the actual definitions and compared with their peers in the control group who did not participate in the game. A group of 16-year-old teenagers studying in the 11th grade participated in this intervention. The average score of conformity with the actual concept of professional commitment among the case group participants was significantly higher than the average value for the control group (P &lt; 0.05). The results of this study could provide insights to planners and educators engaged in the education system so that gamification can be incorporated as an influential tool to teach the concepts of professional commitment. This experience can also be generalized to other concepts, but designing the appropriate scenario will be the most important component of the intervention in these cases. © 2018 Medical Ethics and History of Medicine Research Center, Tehran University of Medical Sciences. All rights reserved.";"20080387";2;"Iran";"Scopus"
"260";"“Gamifying” Online American National Government: Lessons Learned From the First Year of Developing “Citizenship Quest”";58;"Stewart P.A., Terrell E., Kareev A.M., Ellison B.T., Urteaga C.I.,";2020;"Article";"Journal of Political Science Education";"English";"American National Government; citizenship; Gamification; learning management system (LMS); online learning";"This article considers the development of an ongoing team-based project to incorporate a game into an online American National Government class. We start by suggesting that play, and the games that provide for play to occur, is the most natural way for individuals to learn. Technologies offered by online education provide the opportunity to introduce unique game-playing elements into introductory classes such as American National Government. We consider the goals established for this course and how we endeavored to achieve them through a fully self-contained and integrated game—Citizenship Quest—making use of the class learning management system. We then consider surveys of students’ learning outcomes and feedback concerning the game during the first two semesters, Fall 2017 and Spring 2018. We conclude by considering development issues dealt with by the instructor and the instructional design team in how Citizenship Quest—a simulation of the citizenship process—was embedded into this class. © 2019 Taylor & Francis Group, LLC.";"15512169";1;"United States";"Scopus"
"261";"“The prophecy of the chosen ones”: An example of gamification applied to university teaching [“La profecía de los elegidos”: Un ejemplo de gamificación aplicado a la docencia universitaria]";740;"Pérez-López I.J., Rivera García E., Trigueros Cervantes C.,";2017;"Article";"Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte";"English";"Educational innovation; Educational intervention; Gamification; Physical education; University teaching";"The aim of this paper is to describe an innovation experience in the university classroom via a gamification proposal. In addition, the main results of the assessment of the experience will be identified. The most relevant aspects of games were taken into account for gamifying: settings, challenges, scores and levels. The assessment of the experience was obtained from anonymous narratives submitted by the students to Google Drive once the experience ended. These narratives were analyzed with the support NVivo10 software. The students were greatly motivated thanks to the participative, active and collaborative environment resulting from the developed approach. These circumstances, where the good atmosphere in the classroom stands out, have favoured learning in three competence fields: How to know, how to be and how to do. © 2017, Universidad Autonoma de Madrid y CV Ciencias del Deporte. All rights reserved.";"15770354";10;"Spain";"Scopus"
"262";"Accustoms gamification in education improves student motivation, engagement and academic performance";335;"Hanafiah S.H.M., Mat Teh K.S., Kadir M.F.A.,";2019;"Article";"International Journal of Recent Technology and Engineering";"English";"Academic performance; Engagement; Gamification; Motivation; VLE";"Gamification involves game-thinking and game mechanics process to encourage user motivation, engagement and influencing them to achieve problem solving. Gamification in education refers to the use of game mechanics and dynamics as a strategy to infuse ordinary activities or processes to support 21st century learning and facilitation process. Through Malaysia Ministry of Education 1BestariNet project, a virtual learning environment labelled as Frog provided by YTL Communications Sdn Bhd was introduced to support elearning in Malaysian government schools. Frog VLE combines conventional education concept with cloud computing technologies where learning and facilitation can be done ubiquitously twenty-four hours a day and seven days a week, via computing devices with Internet connection. This article describes gamification in education through Frog VLE module known as FrogPlay to infuse students motivation, engagement and academic performance. © BEIESP.";"22773878";NA;"Malaysia";"Scopus"
