"";"Title";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"155";"The Effects of Gamification and Oral Self-Care on Oral Hygiene in Children: Systematic Search in App Stores and Evaluation of Apps";"Fijacko, N; Gosak, L; Cilar, L; Novsak, A; Creber, RM; Skok, P; Stiglic, G";2020;"Article";"JMIR MHEALTH AND UHEALTH";"English";"mobile health; oral health care; gamification; mobile store; evidence-based dentistry; behavior change technique; Mobile Application Rating Scale user version";"Background: Poor oral hygiene is a great public health problem worldwide. Oral health care education is a public health priority as the maintenance of oral hygiene is integral to overall health Maintaining optimal oral hygiene among children is challenging and can be supported by using relevant motivational approaches. Objective: The primary aim of this study was to identify mobile smartphone apps that include gamification features focused on motivating children to learn, perform, and maintain optimal oral hygiene. Methods: We searched six online app stores using four search terms (oral hygiene game, oral hygiene gamification, oral hygiene brush game, and oral hygiene brush gamification). We identified gamification features, identified whether apps were consistent with evidence-based dentistry, performed a quality appraisal with the Mobile App Rating Scale user version (uMARS), and quantified behavior scores (Behavior Change score, uMARS score, and Coventry, Aberdeen, and London-Refined [CALO-RE] score) using three different instruments that measure behavior change. Results: Of 612 potentially relevant apps included in the analysis, 17 met the inclusion criteria. On average, apps included 6.87 (SD 4.18) out of 31 possible gamification features. The most frequently used gamification features were time pressure (16/17, 94%), virtual characters (14/17, 82%), and fantasy (13/17, 76%). The most common oral hygiene evidence-based recommendation was brushing time (2-3 minutes), which was identified in 94% (16/17) of apps. The overall mean uMARS score for app quality was high (4.30, SD 0.36), with good mean subjective quality (3.79, SD 0.71) and perceived impact (3.58, SD 0.44). Sufficient behavior change techniques based on three taxonomies were detected in each app. Conclusions: The majority of the analyzed oral hygiene apps included gamification features and behavior change techniques to perform and maintain oral hygiene in children. Overall, the apps contained some educational content consistent with evidence-based dentistry and high-quality background for oral self-care in children; however, there is scope for improvement.";"2291-5222";1;"Canada";"Web of Science"
"156";"Increasing engagement in pharmacology and pharmacogenetics education using games and online resources: ThePharmacoloGeniusmobile app";"Zammarchi, G; Del Zompo, M; Squassina, A; Pisanu, C";2020;"Article";"DRUG DEVELOPMENT RESEARCH";"English";"Android app; gamification; personalized medicine; pharmacogenomics";"Mobile applications represent useful instruments to convey information and engage the users even during traveling, thanks to the wide diffusion of smartphones, tablets, smartwatches, and similar devices. As such, they have high potential as learning tools that can act complementary to traditional teaching approaches. In the field of pharmacology, mobile applications are increasingly being used to improve adherence of patients or to help them report suspect adverse drug reactions. However, they have been scarcely applied to pharmacology education. In this article, we present PharmacoloGenius, a free Android mobile application integrating resources useful for students as well as healthcare professionals or researchers to expand knowledge on pharmacological topics. We gave particular emphasis to pharmacogenetics, as it is a fundamental tool to achieve personalized treatment. The application offers original games such as pharmacological trivia based on textbooks or special journal club trivia based on research articles conveying the state of the art on specific topics. Additionally, the app offers a curated list of online resources to study pharmacology and pharmacogenetics (e.g., free online courses, videos, and databases) as well as updated news on conferences, grants, and opportunities for pharmacologists. In conclusion, PharmacoloGenius aims to be a useful instrument for people interested in expanding their knowledge on pharmacology in an engaging way.";"0272-4391";0;"USA";"Web of Science"
"157";"RoboTIC: A serious game based on augmented reality for learning programming";"Schez-Sobrino, S; Vallejo, D; Glez-Morcillo, C; Redondo, MA; Castro-Schez, JJ";2020;"Article";"MULTIMEDIA TOOLS AND APPLICATIONS";"English";"Learning programming; Serious games; Visual programming; Augmented reality";"Coding skills are becoming more and more important in today's world, especially within the context of the fourth industrial revolution. They also help practice other 21 century skills such as computational thinking, problem solving and teamwork. Unfortunately, learning how to program is tough and can be also frustrating for beginner students. In this work we introduce RoboTIC, a serious game based on gamification and Augmented Reality that facilitates the learning of programming to students in lower levels of the education system by using a novel set of visual metaphors derived from a notation of roads and traffic signs. The architecture that supports RoboTIC has been designed to allow the integration of multimedia components when new programming concepts and techniques must be addressed and to add game levels that enable students to learn incrementally. Experiments have been conducted in a youth center with children who do not have coding skills at all to demonstrate the feasibility of the proposal. The results show promising conclusions in terms of children's motivation and interest in programming.";"1380-7501";2;"Netherlands";"Web of Science"
"158";"Assessing Ethoshunt as a Gamification-Based Mobile App in Ethics Education: Pilot Mixed-Methods Study";"Zakaria, NS; Saripan, MI; Subarimaniam, N; Ismail, A";2020;"Article";"JMIR SERIOUS GAMES";"English";"gamification; ethics; education; ethics education; ethical competency; mobile app; mobile app usability";"Background: Gamification has remarkable potential in the learning space. The process of creating a gamified system and its influence on human behavior reflect the interaction between educators and machines. Objective: The purpose of this pilot study was to present Ethoshunt as a gamification-based mobile app that can be used in teaching and learning ethics. Methods: This study involved a mixed-methods research design. The researchers surveyed 39 undergraduate students who were introduced to Ethoshunt in order to examine the relationships between mobile app usability and positive emotions, ethical competency, and user experience. Affinity diagramming was used as a tool to organize the opinions and experiences of participants using featured gamification elements. Results: Game dynamics and game mechanics explained the functionality of Ethoshunt. In addition, the learning flow through Ethoshunt was discussed. Overall, the findings were positive, and mobile app usability had the strongest relationship with positive emotions (r=0.744, P<.001), followed by ethical competency (r=0.686, P<.001) and user experience (r=0.614, P<.001). Conclusions: Positive emotions could be perceived as an important dimension in the development and usability of Ethoshunt. The researchers suggest that the gamification-based mobile app advocated in this study may provide ideas for ethics educators who wish to develop a technology-mediated learning environment.";"2291-9279";0;"Canada";"Web of Science"
"159";"A Review of the Moodle Gamification Plugin Level Up: Using a Moodle Plugin to Gamify Learning of Academic Vocabulary";"Sinnott, M; Xia, LA";2020;"Review";"INTERNATIONAL JOURNAL OF COMPUTER-ASSISTED LANGUAGE LEARNING AND TEACHING";"English";"Academic Word List; AWL; China; Coxhead; Engagement; Gamification; Level Up; Moodle; Vocabulary Learning";"This software review evaluates the Moodle plugin Level Up, which aims to add a gamification element to this commonly-used online education platform. The reviewers report their use of the plugin, describing its strengths, weakness and future potential. In doing so, they share their experiences of using it during a recent project that developed a Moodle-based activity for study of the Academic Word List (AWL) at a Sino-British university in China. This activity aimed to enhance student engagement and motivation to learn more academic vocabulary, and Level Up was selected for its claimed gamification potential. The activity's end product, and student responses to it are considered, and positive recommendations are given regarding Level Up's potential for enhancing Moodle.";"2155-7098";0;"USA";"Web of Science"
"160";"PRIORITISATION OF CITIZEN COMPETENCIES IN A GAMMA CONTEXT";"Paba-Medina, MC; Acosta-Medina, JK; Torres-Barreto, ML";2020;"Article";"PANORAMA";"Spanish";"Citizenship competences; virtual education; gamification; Delphi method; reading-writing competences; cognitive citizenship competences";"Citizenship skills are fundamental to build coexistence, promote sustainable development and in general, to form good citizens. However, in Colombia, according to the results of the Saber tests, the development of these competencies is still deficient, and the problem is especially acute in virtual education, since students lose their motivation to learn more easily. A gamma tool that allows increasing such motivational levels while teaching about citizenship competencies is a solution proposed by a team of Colombian researchers. This paper presents a prioritization exercise that allowed the project team to select, using a formal prioritization method, those priority competencies to be gammatized. The method used involved the design of data collection instruments, consultation with experts using the Delphi method, conducting focus groups, calculating results by quartiles and validating and contrasting final results. The results indicate that, in this particular context of gamification and virtual education, the communicative type of citizen competencies, specifically the writing competencies, together with the cognitive type of citizen competencies are the most relevant.";"1909-7433";0;"Colombia";"Web of Science"
"161";"APPLICATION SERIOUS GAME IN ECONOMIC SCIENCE PROGRAMS: TRENDS AND CHALLENGES";"Morales-Sierra, ME; Cardona-Valencia, D; Castaneda-Gomez, E; Uribe-Ortiz, AM; Rios-Gallego, PA";2020;"Article";"PANORAMA";"Spanish";"Education; serious game; administration; finance and accounting; active learning; training by competencies";"This document presents a characterization of the international collaborative work on the application of serious game in curricular contents of programs in economics related to finance, accounting and administration. Information compiled from the Scopus academic database during the 2007-2018 observation window was taken as a reference, considering bibliometric indicators, outstanding methodologies, trends in use or application, and challenges or challenges of implementation. As a result, it is possible to identify eight main categories of teaching-learning strategies in which Adaptive Learning, Collaborative Learning and Gamification are located as the trends in which the use of serious games has been consolidated. Storytelling (narrative of stories), and Learning based on competencies are in the process of consolidation. Finally, flipped learning, Massive Open Online Course (MOOC), and Challenge-based learning are incipient lines in which the use of serious gaming has not been sufficiently developed. In the same way, it is possible to highlight, from the monitoring of scientific publications, the main achievements, orientations and challenges of the application of these strategies in the classroom; particularly those related to finance, administration and accounting.";"1909-7433";0;"Colombia";"Web of Science"
"162";"Exploring the Learning Efficacy of Digital Forensics Concepts and Bagging & Tagging of Digital Devices in Immersive Virtual Reality";"Hassenfeldt, C; Jacques, J; Baggili, I";2020;"Article; Proceedings Paper";"FORENSIC SCIENCE INTERNATIONAL-DIGITAL INVESTIGATION";"English";"Virtual reality; Cyber forensics; Digital forensics; Education; Gamification";"This work presents the first account of evaluating learning inside a VR experience created to teach Digital Forensics (DF) concepts, and a hands-on laboratory exercise in Bagging & Tagging a crime scene with digital devices. First, we designed and developed an immersive VR experience which included a lecture and a lab. Next, we tested it with (n = 57) participants in a controlled experiment where they were randomly assigned to a VR group or a physical group. Both groups were subjected to the same lecture and lab, but one was in VR and the other was in the real world. We collected pre- and post-test results to assess the participants' knowledge in DF concepts learned. Our experimental results indicated no significant differences in scores between the immersive VR group and the physical group. However, our results showed faster completion times in VR by the participants, which hints at VR being more time efficient, as virtual environments can be spun programmatically with little downtime. (C) 2020 The Author(s). Published by Elsevier Ltd on behalf of DFRWS. All rights reserved.";NA;0;"ENGLAND";"Web of Science"
"163";"Engaging Students in a Peer-Quizzing Game to Encourage Active Learning and Building a Student-Generated Question Bank";"Kiron, N; Adaji, I; Long, J; Vassileva, J";2020;"Article";"ELECTRONIC JOURNAL OF E-LEARNING";"English";"gamification; game-based testing; peer-quizzing; incentives; engagement";"Games are a great source of entertainment and are used by people of all ages; they motivate and engage people and affect their behavior. Therefore, games have been widely studied in many non -game contexts. Education is one of those areas where gamified, and game-based learning strategies have been implemented and explored. To engage and motivate students to quiz each other, and as a side effect, build a question bank, as well as to study the gaming and learning behavior of students, we used a peer-quizzing game called Tower of Questions (ToQ). The game uses some themes and mechanics found in tower defense (TD) games. The students received points for posing and answering the questions in the game in the form of gems. Students played the game with pseudonyms for one academic term and were told not to disclose their identities to anyone. We conducted a 3-month long study for two consecutive years in the same first-year undergraduate computer science course. In this paper, we present the findings from our studies using ToQ, specifically findings related to the students' self-monitoring and quizzing activities based on the game logs and two self-reported surveys from data collected in the second year of the study.";"1479-4403";0;"ENGLAND";"Web of Science"
"164";"INCREASING EFFICIENCY OF FOREIGN-LANGUAGE TEACHING: GAMIFICATION TECHNOLOGIES IN EDUCATION";"Dugalich, NM; Alontseva, NV; Vasilieva, YA; Rubannikova, IA; Mikheeva, MI; Kudryashova, NV";2020;"Article";"REVISTA INCLUSIONES";"English";"Gamification; Game; Foreign language; Interactivity; Fight against social security fraud";"One of the issues related to teaching a foreign language is student involvement in the learning process. In the modern technological world, the teacher needs to expand their methodological toolbox by adding the latest methodological discoveries to modernize the classical model of a practical lesson. In view of this, the transfer of gaming elements into the non-gaming environment of teaching a foreign language can improve the results of learning. The article deals with the process of gamification as a promising innovative means of improving the foreign-language competence of college-level students in the process of teaching foreign languages. An analysis of academic literature on the implementation of gamification into the educational process has been carried out. Based on an expert survey, the authors have determined the key technologies of game-based educational activity adopted in foreign language teaching, the connection between these technologies and information technology use and the acceptability of certain technologies of game-based educational activity depending on the type of a higher education institution.";"0719-4706";0;"Chile";"Web of Science"
"165";"FROM ROBO-SAPIENS TO ROBO-LUDENS: RE-THINKING FUTURE LEARNING WITH SMART PERSONAL DIGITAL PLAYMATES";"Sezgin, S";2020;"Article";"TURKISH ONLINE JOURNAL OF DISTANCE EDUCATION";"English";"Smart personal digital assistants; robo sapiens; robo ludens; play behaviour; digital playmates";"This systematic review investigates two foci: identifying the ongoing status of smart personal digital assistants in educational contexts and the possible relationship between smart personal digital assistants and gamification elements. This relationship is expressed in almost two new figurative terms, namely, robosapiens and robo-ludens and the present study lays on the foundations of these terms. Therefore, this paper presents a holistic approach for the review and synthesis of the previous literature. The data of the study were gathered based on the findings reported in the related research articles, conference papers, dissertations, book chapters and project reports by focusing on 9 sets of generic keywords. As a part of this study, smart personal digital assistants in learning processes were scanned purposively in the lens of gamification. To this end, a two step inclusion criteria was implemented to review the studies of the research scope. Content analysis was the main method used for data analysis. The research findings revealed the most significant fields for the use of smart personal digital assistants are dominantly e-learning and special education. The research also discusses game-related components in smart personal digital assistant use in edu-centric purposes.";"1302-6488";0;"Turkey";"Web of Science"
"166";"Gamification and Its Application in the Social Environment: A Tool for Shaping Behaviour";"Cordero-Brito, S; Mena, J";2020;"Article";"JOURNAL OF INFORMATION TECHNOLOGY RESEARCH";"English";"Components; Engagement; Game Design; Gamification; Learning; Motivation; Social Environment; Social Learning";"This study sets out to conduct a systematic review of the emergence and evolution of gamification in the social environment, its main components, and its application as a learning tool through the motivation and engagement it generates in people. The results were obtained by consulting two major scientific databases, namely, Scopus and the Web of Science, which provided 136 articles published on the social environment from 2011 through to mid-2016 using the term gamification. The results of this study reveal how over time gamification has been gaining importance in the social environment through the use of its components. The highest number of scientific publications come from the United States and Spain. In addition, the use of gaming components increases motivation and engagement. It shows how gamification uses (individual or group) rewards according to the context to achieve the proposed objectives, being successfully implemented in education, health, services, and social learning.";"1938-7857";1;"USA";"Web of Science"
"167";"Gaming in Nursing Education: Recent Trends and Future Paths";"Reed, JM";2020;"Article";"JOURNAL OF NURSING EDUCATION";"English";NA;"Background: Game-based learning has attracted much attention in education in recent years due to its ability to increase student motivation and engagement in learning. This study reviewed the literature to answer the research questions: What learning outcomes have been linked to games in nursing education? What are potential gaps in the field's knowledge regarding games in nursing education? Method: A systematic literature search was completed in CINAHL and Google Scholar from 2009-2019 with the keywords of games, gaming, and nursing education. Results: A total of 49 papers were identified; of these, 34 were excluded, and 15 empirical studies were evaluated. The majority reported beneficial learning outcomes, such as increased knowledge, higher test scores, and positive student comments. Several methodological weaknesses were noted, such as small sample sizes, convenience samples, and lack of control groups or randomization. Conclusion: Games have the potential to prepare new nurses for improved clinical decision making. More robust research methodologies are needed to confirm best practices for educators.";"0148-4834";0;"USA";"Web of Science"
"168";"Analysis of creative thinking and levels of student activation after a gamification experience";"Parra-Gonzalez, ME; Segura-Robles, A; Romero-Garcia, C";2020;"Article";"EDUCAR";"Spanish";"active learning; innovation; active methodologies; motivation; gamification; higher education";"Teachers face many challenges that require constant updating, training and information and where information and communications technology (ICT) plays a key role. In virtual learning environments, knowledge and the appropriate use of ICT are very important to ensure effective teaching-learning processes. One of the emerging methodologies in this regard is the use of gamification in education. Gamification motivates students' when they are faced with complex problems contextualized in a professional setting and provides them training in the skills required for entry into the world of work. The objective of this article is to measure factors that influence a gamified experience. To this end, a quantitative study with an ex post-facto descriptive analysis was carried out. The study population comprised 238 participants: 50 teachers and 188 students from different degree programs at universities in Andalusia, Spain. The results revealed high levels of activation and creative thinking, indicating that both students and teachers achieve high levels of motivation, activation and creativity after gamified experiences.";"0211-819X";1;"Spain";"Web of Science"
"169";"The Design of Applying Gamification in an Immersive Virtual Reality Virtual Laboratory for Powder-Bed Binder Jetting 3DP Training";"Chen, PH";2020;"Article";"EDUCATION SCIENCES";"English";"immersive virtual reality; gamification; education; 3DP technology; 3D simulation; virtual laboratory (VL)";"The integration of Virtual Reality (VR) and gamification techniques can be used to produce a fun virtual laboratory, including virtual spaces and educational content. This study developed a prototype for a virtual laboratory for powder-bed binder jetting three-dimensional printing (3DP) training in universities. The 3DP virtual laboratory is expected to address problems encountered in teaching, training, and practicing with powder-bed binder jetting 3DP. The 3DP Training Virtual Laboratory was developed by using immersive VR technology to simulate two-handed operations. The user evaluation of the first version prototype revealed that the students lacked learning interest and motivation when using the prototype. Thus, gamification technology was integrated into the 3DP virtual laboratory prototype in the mid-implementation development phase. After refining and systematically developing the model to meet the modified requirements, user evaluations on the game elements showed positive feedback. This study concluded that elements of gamification design should be considered at the beginning of the educational or training system development in order to enhance students' motivation or engagement.";NA;0;"Switzerland";"Web of Science"
"170";"Exit for success. Gamifying science and technology for university students using escape-room. A preliminary approach";"Sanchez-Martin, J; Corrales-Serrano, M; Luque-Sendra, A; Zamora-Polo, F";2020;"Article";"HELIYON";"English";"Education; Gamification; Higher education; Escape room; Academic motivation; STEM Education; Science education; Engineering Education";"There is a growing tendency to incorporate gamification activities with the aim of improving student's motivation in science, technology, engineering and mathematics (STEM) courses. One of the strategies to apply gamification in the classroom is the use of the escape room. In this work different experiences of escape room in the context of formal university education are analysed. The analysis of students' opinions shows that such activities are well received regardless of background (engineering or education) or gender. The emotions that arise from the experience are mostly positive and the students state that they have developed both specific and transversal competencies. Finally, practical considerations are proposed based on the lessons learned from the developed experiences.";"2405-8440";2;"ENGLAND";"Web of Science"
"171";"Determination of Preservice Science Teachers' Approaches Related with Physics and Physics Problem via Metaphors";"Eryilmaz Toksoy, S; Akdeniz, AR";2020;"Article";"HACETTEPE UNIVERSITESI EGITIM FAKULTESI DERGISI-HACETTEPE UNIVERSITY JOURNAL OF EDUCATION";"Turkish";"Physics; physics problem; problem solving; metaphor";"Science teachers play important role in the formation of students' approaches related to science / physics. The way in which preservice science teachers prepare to practice one's profession, approach to some concepts, events or phenomena can be determined effectively through metaphors. This research's aim is to determine the approaches of preservice science teachers about physics that they have difficulty in understanding and physics problem solving that they have difficulty in solving through metaphors. The participants of the research are comprised of 139 students who are studying in different classes in the science teacher education program at the Faculty of Education at a university in the Eastern Black Sea Region. In the pattern of phenomenology, the data were collected through a questionnaire and have been subjected to content analysis by NVivo 11 program. Generated metaphors are generally grouped under the headings nature, benefits and needs. It has been found that the codes often emphasize the link between physics and daily life, difficulty, combining different kinds of knowledge and skills, and relation with logic. Some of the results reached are those: Even though preservice teachers associate physics and physics problems with life, they remember the solution process of routine physics problems when they face with a physics problem. They have difficulties in understanding physics and solving physics problems, and think that solving physics problems probably depends on combining information in a related way. Related to these results, suggestions such as giving different types of problems in physics lessons, gamification the physics teaching, adding a lesson about physics problem solving strategies have been offered.";"2536-4758";0;"Turkey";"Web of Science"
"172";"Defining Near-Term to Long-Term Research Opportunities to Advance Metrics, Models, and Methods for Smart and Sustainable Manufacturing";"Raman, AS; Haapala, KR; Raoufi, K; Linke, BS; Bernstein, WZ; Morris, KC";2020;"Review";"SMART AND SUSTAINABLE MANUFACTURING SYSTEMS";"English";"smart manufacturing; sustainable manufacturing; advanced manufacturing; future research; education needs";"Over the past century, research has focused on continuously improving the performance of manufacturing processes and systems-often measured in terms of cost, quality, productivity, and material and energy efficiency. With the advent of smart manufacturing technologies-better production equipment, sensing technologies, computational methods, and data analytics applied from the process to enterprise levels-the potential for sustainability performance improvement is tremendous. Sustainable manufacturing seeks the best balance of a variety of performance measures to satisfy and optimize the goals of all stakeholders. Accurate measures of performance are the foundation on which sustainability objectives can be pursued. Historically, operational and information technologies have undergone disparate development, with little convergence across the domains. To focus future research efforts in advanced manufacturing, the authors organized a one-day workshop, sponsored by the U.S. National Science Foundation, at the joint manufacturing research conferences of the American Society of Mechanical Engineers and Society of Manufacturing Engineers. Research needs were identified to help harmonize disparate manufacturing metrics, models, and methods from across conventional manufacturing, nanomanufacturing, and additive/hybrid manufacturing processes and systems. Experts from academia and government labs presented invited lightning talks to discuss their perspectives on current advanced manufacturing research challenges. Workshop participants also provided their perspectives in facilitated brainstorming breakouts and a reflection activity. The aim was to define advanced manufacturing research and educational needs for improving manufacturing process performance through improved sustainability metrics, modeling approaches, and decision support methods. In addition to these workshop outcomes, a review of the recent literature is presented, which identifies research opportunities across several advanced manufacturing domains. Recommendations for future research describe the short-, mid-, and long-term needs of the advanced manufacturing community for enabling smart and sustainable manufacturing.";"2520-6478";3;"USA";"Web of Science"
"173";"Hybridisation of the Teaching Personal and Social Responsibility Model and Gamification in Physical Education";"Valero-Valenzuela, A; Garcia, DG; Camerino, O; Manzano, D";2020;"Article";"APUNTS EDUCACION FISICA Y DEPORTES";"English";"pedagogical innovation; pedagogical model; t-pattern detection; mixed methods re-search";"The purpose of this study was to analyse the outcome of a teaching intervention based on hybridising the Teaching Personal and Social Responsibility (TPSR) pedagogical model and innovative gamification strategy. It uses a mixed methods analysis consisting of the observation of teacher-student interaction and student motivation questionnaires to demonstrate the impact of this innovative teaching approach on both genders. The sample consisted of 55 students from a school in the Region of Murcia (28 girls and 27 boys) aged 13 to 17 (M = 14.29; SD = 0.875) from two courses in 2nd- and 3rd-year lower secondary education. The observational analysis of the teacher's performance and teacher-student interactions was conducted by recording ten sessions on video, coded with the Personal and Social Responsibility Observation (SORPS) instrument and recorded with the LINCE v.2.0 software. The THEME v.6 Edu. software was used to obtain the behavioural temporal patterns (t-patterns). The Secondary Education Motivation Scale (EME-S) was administered to analyse the students' self-determined motivation and the data were entered in the SPSS v.22.0 statistical program to perform the Wilcoxon signed-rank test. The results showed a clear assignment of autonomy and responsibility to the participants in the teacher's behaviours which generated greater self-determined motivation among the students. In conclusion, the application of a programme based on hybridising the TPSR pedagogical model and gamification is effective in improving student levels of autonomy, responsibility and motivation.";"1577-4015";2;"Spain";"Web of Science"
"174";"A systematic review of digital badges in health care education";"Noyes, JA; Welch, PM; Johnson, JW; Carbonneau, KJ";2020;"Review";"MEDICAL EDUCATION";"English";NA;"Objectives A challenge to competency-based medical education is the verification of skill acquisition. Digital badges represent an innovative instruction strategy involving the credentialing of competencies to provide evidence for achievement. Despite increasing interest in digital badges, there has been no synthesis of the health care education literature regarding this credentialing strategy. The present authors proposed to address this gap by conducting the first systematic review of digital badges in health care education, to reveal pedagogical and research limitations, and to provide an evidence-based foundation for the design and implementation of digital badges. Methods A systematic search of the medical education literature from January 2008 to March 2019 was conducted using MEDLINE, Web of Science, CAB s and ScienceDirect. Included studies described digital badges in academic or professional medical education programmes in any health care profession. Included studies were appraised and quality assessment, methodological scoring, quantitative analysis and thematic extraction were conducted. Results A total of 1050 relevant records were screened for inclusion; 201 full text articles were then assessed for eligibility, which resulted in the identification of 30 independent papers for analysis. All records had been published since 2013; 77% were journal articles, and 83% involved academic health care education programmes. Scores for quality were relatively moderate. Thematic analyses revealed implications for the design and implementation of digital badges: learner characteristics may moderate student outcomes; the novelty effect can negate the value of digital badges, and educators may overcome instruction-related challenges with digital badges using design and implementation strategies such as the creation of badging ecosystems. Conclusions The results indicate a growing momentum for the use of digital badges as an innovative instruction and credentialing strategy within higher education and provide evidence for outcomes within a learner-centred, competency-based model of medical education. There is a paucity of research to support the design and implementation of this credentialing system in health care education. The potential benefits necessitate future high-quality analyses reporting institutional, patient and workplace-based outcomes to evaluate the effectiveness and moderating conditions of digital badges.";"0308-0110";5;"USA";"Web of Science"
"175";"Project Portfolio Management teaching: Contributions of a gamified approach";"Barbosa, MW; Rodrigues, CD";2020;"Article";"INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION";"English";"Project portfolio management; Gamification; MBA programs";"Project Portfolio Management (PPM) is becoming a key competence for companies handling numerous projects simultaneously. PPM instructors have been largely unable to transform what is being taught into applicable skills. Gamification has been successfully applied in some educational environments and it has been increasingly applied in Management university courses. The objective of this study is to propose and assess a gamified strategy for teaching Project Portfolio Management to MBA students. The implementation of this gamified experience was carried out in 2018, 2019 and 2020 with 122 students. They were quite satisfied with the gamified experience and recognized that the Portfolio Game Experience contributed to learning different PPM techniques and processes, especially those associated with project prioritization and selection. Moreover, 100% of the respondents would recommend the course to a colleague. By qualitatively analyzing students' feedback, this study has found out that the Portfolio Game Experience provided the students the practical experience of actively learning what they have seen in theory. Students also highlighted typical game characteristics that contribute to their learning, like the fact that the game is fun, challenging, motivating and interactive. When compared to other courses they have taken so far, students evaluate this experience as superior.";"1472-8117";2;"ENGLAND";"Web of Science"
"176";"Psychological effects of gamified didactics with exergames in Physical Education at primary schools: Results from a natural experiment";"Quintas, A; Bustamante, JC; Pradas, F; Castellar, C";2020;"Article";"COMPUTERS & EDUCATION";"English";"Elementary education; Improving classroom teaching; Interactive learning environments; Teaching/learning strategies";"The physical effects of exergaming have been proven, but less is known about the psychological effects in elementary schools that make exergames an effective educational tool. The application of gamification to education is still an emerging practice that has been barely studied. The aim of this study was to analyse the effects of a gamified exergaming intervention in Physical Education classes in primary schools on psychological variables like motivation, flow, basic psychological needs and academic performance. A natural experiment with a non-randomised controlled design was run. The participants were recruited from four schools (n = 417), and received traditional didactic intervention or a gamified exergaming intervention. Both lasted 1 month. The results showed better positive gamified exergaming effects on basic psychological needs, academic performance and some flow dimensions. No interaction effects were found in intrinsic motivation, external regulation and amotivation, although specific improvements in the gamified exergaming group are discussed. The Mechanics-Dynamics-Aesthetics gamification model and the Just Dance Now exergame may be resources capable of producing positive psychological effects on school-based Physical Education.";"0360-1315";3;"ENGLAND";"Web of Science"
"177";"Influence of problem-based learning games on effective computer programming learning in higher education";"Chang, CS; Chung, CH; Chang, JA";2020;"Article";"ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT";"English";"Computer programming; College students; Game-based learning; Perception; Problem-based learning";"Gaming is a part of today's society, especially for younger generations. Therefore, game-based approaches are unsurprisingly used for learning achievement. In this study, a game-based learning courseware was implemented using a problem-based strategy. For this purpose, a game known as 'Programmer Adventure Land' was designed and developed. A group of college students were asked to play the game to improve their knowledge of computer programming. Results indicated that the problem-based learning approach of the game can enhance the satisfaction, enjoyment, motivation, and user interface for the problem-based game learning courseware. The main finding of this study is that Problem-based games provide teachers with an effective approach for enhancing students' learning satisfaction in difficult subjects, such as computer programming.";"1042-1629";6;"UNITED STATES";"Web of Science"
"178";"Literacy in the new norm: stay-home game plan for parents";"Zainuddin, Z; Perera, CJ; Haruna, H; Habiburrahim, H";2020;"Article";"INFORMATION AND LEARNING SCIENCES";"English";"COVID-19; Gamification elements; Literacy in the new norm; Non-tech gamification; Non-tech learning environment; Parent-led programme; Stay-home game plan";"Purpose - The purpose of this study is twofold. Firstly, this research aims at helping countries implement an equitable, innovative and context-appropriate stay-home game plan for the millions of disadvantaged and under-privileged students severely affected by the forfeiture of school closures; and secondly, this study proclaims that the burgeoning popularity of gamification has the potential to lay the bedrock foundation for 'Literacy in the New Norm'. Design/methodology/approach - The temporal closure of schools around the world to limit the spread of the COVID-19 has resulted in massive educational disruptions triggering adverse effects and bringing much of education under grave threat. Through a review of the current empirical and conceptual literature, this study proposes a new gamification concept in a non-technology environment. Findings - Well underway are global dialogues that hold conversations on implementing mitigation strategies to counter the looming global health crisis. This has generated the impetus for a more concerted effort by concerned governments and international organizations to identify appropriate solutions for the continuity of learning so that the learning never stops. While educators and learners plunge further into the core of reconstructing education, the authors recognize that the fundamentals of technology and virtual connectivity have all along contributed to the multi-faceted e-learning stage set. However, concerns regarding the paradigm shift to remote online learning would certainly exacerbate inequalities cardinally felt across disadvantaged communities around the globe. Originality/value - As the world is currently bound by strict isolation measures, learners of all ages have been relegated to the confines of their homes. For the most part, the stark realities of technological mishaps that have befallen underprivileged school children, serve as a reminder to help target children all over the world who are in most peril of losing ground in terms of continued education. It is on these grounds that the criterion set out in this article elucidates the nature and scope of a supplementary stay-home game plan detailing the use of game affordances that bear intelligently in the creation of home-based activities for parents to give it their best effort in fostering a collaborative and meaningful parent-child relationship that spawns the new language of literacy in the new norm.";"2398-5348";1;"ENGLAND";"Web of Science"
"179";"Game On: Exploring the Effectiveness of Game-based Learning";"Hartt, M; Hosseini, H; Mostafapour, M";2020;"Article";"PLANNING PRACTICE AND RESEARCH";"English";"Gamification; game based learning; active learning";"Game-based learning has emerged as an innovative learning technique that can increase student motivation, emotional involvement and enjoyment. Our study examines the effectiveness of game-based learning in planning education. Specifically, we explore the impact of gamification on planning students' perception of learning, engagement and teamwork. Two lectures in an undergraduate planning course were delivered using two different methods of teaching (one traditional lecture-style, one game-based). Feedback was gathered through an online questionnaire and semistructured interviews. Results show that students favored and were more engaged in the game-based lecture. Finally, we contend that gamification is particularly well suited for planning education.";"0269-7459";1;"ENGLAND";"Web of Science"
