"";"Title";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"183";"Virtual university and gamification to support engineering education";"Tsiatsos T.,";2020;"Article";"International Journal of Engineering Pedagogy";"English";"";"[No abstract available]";"21924880";1;"Greece";"Scopus"
"184";"A systematic review about gamification, motivation and learning in high school [Una revisiÓn sistemÁtica sobre gamificaciÓn, motivaciÓn y aprendizaje en universitarios]";"Prieto Andreu J.M.,";2020;"Review";"Teoria de la Educacion";"Spanish";"Education; Gamification; Higher education; Learning; Ludification; Motivation; Physical education; Undergraduate";"The gamified educational materials emphasize the interactive experience of the subject, its implication and autonomous decision-making in relation to the object of knowledge, information that it does not receive in a homogeneous and passive way, but that builds it through the personalized action of the game in a digitized environment. Gamification in higher education can provide to students better opportunities to develop commitment skills, increasing their motivation and making them more interested in what they are learning. The purpose of this review is to collect information, synthesize and integrate published works on the influence of gamification with the motivation and learning of students. With this, it is intended to establish the current state of knowledge on gamification in education, which will allow a better approach to future lines of research. Representative studies were identified through a systematic search in 4 databases: EBSCO SPORTDISCUS, SCOPUS, ISI and SCHOLAR GOOGLE, extracting data about the study design, participants, variables, instruments and results. We included 22 studies, 19 originals and 3 reviews of the literature. Initial evidence indicates that gamification in higher education motivates students and improves their learning, providing university students with better opportunities to develop commitment skills. The use of PBL (Points, Badges and Leaderboards) improves motivation and is considered as an adequate combination of mechanics in the implementation of any gamification process in higher education. Guidelines are indicated to maintain motivation and promote learning in the students. © 2020 Ediciones Universidad de Salamanca. All rights reserved.";"11303743";6;"Spain";"Scopus"
"185";"A meta-analysis of selected studies on the effectiveness of gamification method for children";"Fadhli M., Brick B., Setyosari P., Ulfa S., Kuswandi D.,";2020;"Article";"International Journal of Instruction";"English";"Children; Education; Gamification; Knowledge; Meta-analysis";"A Meta-analysis of selected studies on the effectiveness of gamification method for children. Multiple gamification methods are used to motivate students to improve their learning outcomes. Yet, this method is still very rarely used in learning for children aged 6-10 years. This systematic review and meta-analysis aim to objectively determine the effectiveness of gamification method in increasing knowledge, skills and attitudes of children aged 6-10 years.The data were obtained from the ERIC, Emerald and Elsevier databases published between 2014-2018 using the keywords of ""gamification on education"", ""gamification methods"", and ""children"". In the chosen systematical analysis, 6 studies were then reviewed using a meta-analysis. The effect summary showed a value of 1.01 with confident interval of 0.98-1.05, which indicates that gamification method is statistically effective in improving students' knowledge, skills, and children's attitudes. The Z test with a value of 0.68 and a significance level of 5% also showed a significant effect of this method calculated by random-effect models. © 2020 Eskisehir Osmangazi University.";"1694609X";NA;"United Kingdom";"Scopus"
"186";"Can the game-based learning come?: Virtual classroom in higher education of 21st century";"Lengyel P.S.,";2020;"Article";"International Journal of Emerging Technologies in Learning";"English";"E-learning; Experiential learning; Gamification; Gamification strategy; Gamified classroom; Gamified teaching-learning environment; Learning management systems (LMSs); Learning-management; Moodle platform; Pedagogical methods";"In recent years, the growing popularity of gamification in learning- organization has shown that it will become an integral part of both traditional and online education at different educational levels. Schools have begun to recognize the value of a successful gamification strategy in motivating students and stimulating the effectiveness of the learning process. The article presents a kind of game-based teaching-learning environment, a solution for integrating digital games into the learning-teaching process, linking theoretical and practical knowledge by the game through e-learning of accounting skills with special emphasis on the experiential learning method. The game-based virtual classroom presented in the present article has been working successful in higher education for several years, the number of the active students grown from semester to semester, the gamification becomes more and more popular in this level of the education, too. © Kassel University Press GmbH.";"18688799";7;"Hungary";"Scopus"
"187";"The impact of gamification on the motivation and performance of engineering students through the lens of self-determination theory";"Kim E., Rothrock L., Freivalds A.,";2020;"Article";"International Journal of Engineering Education";"English";"Engineering education; Gamification; Motivation; Self-determination theory";"Over the last few years, the concept of gamification has received increasing attention from a number of researchers, especially in education fields, as a tool to improve student performance by increasing motivation and engagement. However, previous research has not attempted to empirically investigate the effects of game elements on the quality of motivation (i.e., intrinsic and extrinsic motivation). Thus, this study investigates in detail the relationship between gamification and motivation through the lens of self-determination theory and seeks to determine whether gamification can maintain student motivation for the duration of an entire semester. The experiment was conducted in the fall semesters of 2016 and 2017 with 122 students (63 in 2016, 59 in 2017). Overall, the results showed that (1) gamification can maintain student motivation over the course of the semester and (2) gamification positively affects intrinsic and extrinsic motivation, negatively affects amotivation, and may, therefore, positively affect academic performance. © 2020 Tempus Publications. All rights reserved.";"0949149X";NA;"United States";"Scopus"
"188";"Design of english vocabulary mobile apps using gamification: An Indonesian case study for kindergarten";"Tamtama G.I.W., Suryanto P., Suyoto,";2020;"Article";"International Journal of Engineering Pedagogy";"English";"English Learning; Gamification; Kindergarten; Mobile Learning";"English is important for children because it is an international language that is always used in various fields, both in the world of work, education, economics, and social. One method of learning for children is by playing while learning. Gamification in the field of education is an educational approach to motivate students to enjoy learning by applying the game design. The purpose of this study is to approach the learning of English, specifically for children in kindergarten schools so that children will be more interested and feel happy to continue learning. The gamification method uses a mobile phone-based application with video games. Gamification in question is an English language recognition game for children with games. The introduction of English includes three categories, namely numbers, pictures, and spelling. The result is a mobile-based application that can be used by children to play the introduction of English with the concept of gamification. With gamification, children become more interested and motivated to learn English. Display made it easier to understand and visually appealing. The contribution given through this paper is to motivate children's willingness to learn English through other learning methods, namely gamification. Make children feel comfortable and not afraid to learn new things, especially English. © 2020 Kassel University Press GmbH. All rights reserved.";"21924880";3;"Indonesia";"Scopus"
"189";"Gamification, foreign language teaching and teacher education [Gamificação, ensino de línguas estrangeiras e formação de professores]";"Quast K.,";2020;"Article";"Revista Brasileira de Linguistica Aplicada";"Portuguese";"Cultural-historical perspective; Dialogic perspective; Gamification; Language teaching; Teacher education";"The aim in this article is to reflect upon Gamification as a mediational means or pedagogic strategy in foreign language teaching and language teacher education programs, exploring the concept, presenting some game elements and bringing some learning principles which are inherent to good games (GEE, 2003), articulating theories from the field of Language, Psychology and Game Design. We illustrate the discussion by means of a gamified system designed for a course in a Master’s program in Applied Linguistics and then verify whether and how they appropriate the concept and use it in their classes, by examining their academic production. We problematize the use of a shallow model of gamification, based on a behaviorist, skinnerian view, arguing that it is advisable that teachers have a certain level of ludic/game literacy not only to work with games, but also to gamify. © 2020, Universidade Federal de Minas Gerais, Faculdade de Letras. All rights reserved.";"16760786";NA;"Brazil";"Scopus"
"190";"Gamification in hidden education—teaching migration-related topics through the didactic board game ""crossing borders""";"Klun M.I.,";2020;"Article";"European Journal of Geography";"English";"board game; borders; gamification; hidden education; hidden geographies; migration";"Slovenia, one of the smallest European countries, has always been part of various migration processes. As these processes are nowadays an important part of politics and our everyday life, the topics of migration need to be included in the school curricula. The paper presents an example of how educators can teach young people about migration processes through gamification, using an innovative, didactic and strategic board game Crossing Borders. When playing Crossing Borders, players subconsciously learn about the migration-related topics. The game was very well received among all test groups (teachers and students). © 2020 Association of European Geographers. All Rights Reserved.";"17921341";NA;"Slovenia";"Scopus"
"191";"A gamification experience and virtual reality in teaching astronomy in basic education";"Bedregal-Alpaca N., Sharhorodska O., Jiménez-Gonzáles L., Arce-Apaza R.,";2020;"Article";"International Journal of Advanced Computer Science and Applications";"English";"Game-based learning; Gamification; Reward system; Student motivation";"Regardless of the country, there is a trend: the world of school and the modern world are two different poles. Young people see school as boring compared to the entertainment of today's technology. Most students prefer to play or surf the internet, but not study. Gamification is projected as a methodological practice that aims to turn classrooms into playful immersion scenarios, using participatory strategies with the incorporation of electronic devices. This article shows the results obtained by applying gamification techniques in the research project aimed at supporting astronomy learning for basic education students. When using the app, the student must overcome challenges to earn different achievements and rewards. Among the results highlights the student's motivation during the learning process and the perception of satisfaction of the personal achievements achieved. © 2020 Science and Information Organization.";"2158107X";NA;"Peru";"Scopus"
"192";"What Perception Do Students Have about the Gamification Elements?";"Garcia-Iruela M., Hijon-Neira R.,";2020;"Article";"IEEE Access";"English";"Gamification; gamification elements; higher education";"The use of the mechanics and elements of games in non-ludic environments (Gamification) has increased in non-ludic contexts in various areas including education. This study focused on the perception that students have of the different elements of gamification in three different experiences, after which students were asked to answer a survey about the gamified elements of the course in which they participated. In the three experiences, Feedback, levels, points and missions stand out as the best valued, despite the fact that, for example, 'time limit' were little valued by the students, it can be useful in the design of a gamified experience, but its use must be well regulated to avoid possible negative aspects and favor a good experience for the student. On the other hand, though badges were also been well valued by students in the longest experiences, in the shortest experience, it was one of the worst rated elements. Finally, the elements that students liked the least of all those analyzed, were the leaderboard and the blocked content. © 2013 IEEE.";"21693536";NA;"Spain";"Scopus"
"193";"Gamification and remind app: An applied experience in a professional competencies development workshop";"Santos-Guevara B.N., López A.A.,";2020;"Article";"International Journal of Engineering Pedagogy";"English";"Apps for education; Educational innovation; Engineering education; Gamification; Higher education; Remind";"The design of the third workshop of the Professional Experience Modality was based on gamification, and students, most of them undergraduate engineers, were supposed to be secret agents with specific competencies to solve missions (assignments they should solve working in collaborative teams) in accordance with the course syllabus. Secret agents worked during the academic period to earn extra performance points from the missions and to receive a recognition badge as secret agents prepared for their internships. The use of the Remind app enhances close communication between teacher and students in a simple way. Sixty-three percent of students who used the app were satisfied with it, feeling accompanied, and using the app to resolve questions about due dates, receive general instructions for assignments, and see their progressive development of competencies. © 2020 Kassel University Press GmbH. All rights reserved.";"21924880";NA;"Mexico";"Scopus"
"194";"A systematized review on diabetes gamification";"Asadzandi S., Sedghi S., Bigdeli S., Sanjari M., Sanjari M.,";2020;"Article";"Medical Journal of the Islamic Republic of Iran";"English";"Diabetes; Educational game; Gamification; Serious game; Video games";"Background: Gamification is an effective tool used to enhance the quality of education and training, to create motivation and enthusiasm, and to maintain competitiveness in the targeted population. Given that, the present study is an attempt to review gamification used in the field of diabetes systematically and its effects on the target group. Methods: Articles were retrieved from eight databases via an electronic advanced search. The data were imported to Endnote; and to assess the quality of the articles, PRISMA and CASP were used. Finally, according to the inclusion criteria, the appropriate articles were selected. Results: This study indicates that physical activity and nutrition were the most frequent diabetic subgroups in diabetes gamification. In addition, all diabetes gamification programs were designed to educate, teach skills and make behavior improvement in diabetics. Conclusion: Diabetes gamification have the capacity to change health behaviors among all age groups and can create an innovative, attractive and interactive learning environment accompanied by fun and engagement. Professor, Health Management and Economics Research Center, Iran University of Medical Sciences, Tehran, Iran; Librarianship and Medical Information Science, Iran University of Medical Sciences, Tehran, Iran. Copyright© Iran University of Medical Sciences";"10161430";NA;"Iran";"Scopus"
"195";"Active and emerging methodologies for ubiquitous education: Potentials of flipped learning and gamification";"Parra-González M.E., Belmonte J.L., Segura-Robles A., Cabrera A.F.,";2020;"Article";"Sustainability (Switzerland)";"English";"Educational innovation; Flipped learning; Gamification; ICT; Innovative methodologies; Methodological contrast; Transformative pedagogies";"Introduction: Nowadays, education is immersed in a process of constant renewal due to the inference of two fundamental facts: The emergence of new technologies and the development of new active methodologies that lead the teaching and learning processes. Methods: A case study was developed to analyze the effects caused in these processes by the implementation of ""flipped learning"" and ""gamification"" as teaching models; after the implementation of each one, variables such as learning achievement, learning anxiety, motivation, and autonomy were compared. This work was carried out with secondary school subjects (n = 60) of an educational center of the Autonomous City of Ceuta. A descriptive experimental study was carried out. Gamification and flipped learning effects were compared to analyze both their potentials as educational methodologies. Results: The results show the benefits of both methodologies. All measured dimensions increased positively, in accordance with previous studies on the subject. Conclusion: The implementation of both methodologies in the classroom causes an improvement in the students' learning processes, in their achievements, and in their enthusiasm. © 2020 by the authors.";"20711050";23;"Spain";"Scopus"
"196";"Continuance Intentions to Use Gamification for Training in Higher Education: Integrating the Technology Acceptance Model (TAM), Social Motivation, and Task Technology Fit (TTF)";"Vanduhe V.Z., Nat M., Hasan H.F.,";2020;"Article";"IEEE Access";"English";"and social motivation; Gamification; gamification in higher institution; gamified Moodle training platform; motivation; task technology fit; technology acceptance model";"Despite the public enthusiasm for gamification training for employees, gamification is not yet been fully incorporated for instructor training in universities. Previous studies have examine factors that improves employee participation, motivation and engagement that leads to the employee intentions to use gamification for training. Therefore, in this study, task technology fit (TTF), social motivations (SM) and knowledge gain from using gamifiction were investigated. The TAM is enhanced with other factors; such as the task technology fit (TTF) and social motivation. The TTF is used to examine gamification utility, while social motivation is used to examine social influence (SI) and social recognition (SR). Data were collected in two phases, in the first phase 375 data were used for the TAM, secondly, 31 data were used for the pre and posttest. A structural equation model were presented to test the TAM while the t-Test were used to study the knowledge gain from using the gamification system. However, the foundation for understanding instructors' behavior in this study's context are: (1) perceived usefulness and attitudes are crucial to the continuance intentions to use gamified Moodle for training; (2) perceived usefulness mediates the relationships among social recognition, TTF, perceived ease of use, and social influence on continuance intentions; (3) when predicting continuance intentions, TTF, social recognition, social influence, and perceived ease of use are vital; (4) TTF positively affects perceived ease of use; and, unexpectedly, (5) the TTF and social influence have no significant effects on perceived usefulness. Detailed results and educational implications are discussed. © 2013 IEEE.";"21693536";10;"Turkey";"Scopus"
"197";"Undergraduates’ Increased Acceptance and Positive Attitude toward Gamification: Its Relation to Increased Engagement";"Feroz F.S., Devi S.I., Subramaniam S.K.,";2020;"Article";"International Journal of Science, Mathematics and Technology Learning";"English";"Educational Technology; Gamification; Kahoot!; Mathematics Education; Statistics; Student Engagement";"This article aims to investigate the impact of Kahoot! on undergraduates’ engagement in an Engineering Statistics course. A gamification tool, Kahoot! was implemented in an Engineering Statistics undergraduate course to address the needs of undergraduates to be actively engaged during lectures. Based on a survey of seventy-two undergraduates, more than 90 percent agreed that Kahoot! enhanced their learning performance and engagement during lessons. In accordance with the Gamification Acceptance Model, perceived usefulness and perceived ease of use are positively correlated with undergraduates’ attitude. Further, perceived usefulness, perceived ease of use, and increased positive attitude toward Kahoot! are significantly related to increased study skills and interaction engagement. The present study demonstrated that it is possible to effectively engage engineering undergraduates in a statistics course with the implementation of Kahoot! © 2020. Common Ground Research Networks, Farah Shahnaz Feroz, S. Indra Devi, Siva Kumar Subramaniam, All Rights Reserved.";"23277971";NA;"Malaysia";"Scopus"
"198";"Leaderboard: Analysis review behind the usage in gamification";"Sanmugam M., Mohamed H.,";2020;"Article";"ASM Science Journal";"English";"Game elements; Gamification; Leaderboard";"Gamification; the use of game design elements in non-gaming context has reaped a variation of results since its inception. Game elements exists in many different forms most notably the trilogy of Points, Badges and Leaderboards. Of all the elements, leaderboard plays an important role in the competitive world today, including the fields of commerce, social network and education. Therefore, to investigate this, an analysis review of the current trend and researches in gamification from 2017 till 2018 was carried out. The findings showed that leaderboard manages to attract users who prefer a competitive environment to be more engaged and motivated in completing their tasks. Meanwhile the rest of the users get swept away by the competition and eventually drop of the activity due to the lack of interest created by an environment lacking playful situations. It was also identified that team-based leaderboard is a viable match for users from the Generation-Z. © 2020 Akademi Sains Malaysia.";"18236782";NA;"Malaysia";"Scopus"
"199";"Analysis of creative thinking and levels of student activation after a gamification experience [Análisis del pensamiento creativo y niveles de activación del alumno tras una experiencia de gamificación]";"Parra-González M.E., Segura-Robles A., Romero-García C.,";2020;"Article";"Educar";"Spanish";"Active learning; Active methodologies; Gamification; Higher education; Innovation; Motivation";"Teachers face many challenges that require constant updating, training and information and where information and communications technology (ICT) plays a key role. In virtual learning environments, knowledge and the appropriate use of ICT are very important to ensure effective teaching-learning processes. One of the emerging methodologies in this regard is the use of gamification in education. Gamification motivates students' when they are faced with complex problems contextualized in a professional setting and provides them training in the skills required for entry into the world of work. The objective of this article is to measure factors that influence a gamified experience. To this end, a quantitative study with an ex post-facto descriptive analysis was carried out. The study population comprised 238 participants: 50 teachers and 188 students from different degree programs at universities in Andalusia, Spain. The results revealed high levels of activation and creative thinking, indicating that both students and teachers achieve high levels of motivation, activation and creativity after gamified experiences. © 2020 Universitat Autonoma de Barcelona. All rights reserved.";"0211819X";2;"Spain";"Scopus"
"200";"Measuring the effects on learning performance and engagement with a gamified social platform in an MSc program";"Garcia-Cabot A., Garcia-Lopez E., Caro-Alvaro S., Gutierrez-Martinez J.-M., de-Marcos L.,";2020;"Article";"Computer Applications in Engineering Education";"English";"education; engagement; gamification; learning performance; social";"New generations of students are highly involved with technology. Therefore, while coming to traditional classrooms, it is required to call for different forms of teaching that are more motivating and engaging for them. One approach to this problem is combining games and education. Gamification could be defined as the use of game design elements in non-game contexts. The research gap in the literature could be found in requiring more experimental studies assessing if gamification can improve learning outcomes. To this end, this paper further contributes to determining if a gamified social e-learning platform can improve the learning performance and engagement of MSc students. The developed platform combined submission of activities with points, achievements, leaderboards, and rewards (with a virtual store) and social elements such as friends, forums, Q&A, blogs, and microblogging. Results show that, indeed, social gamification is a suitable technique to improve the learning outcome of students, at least for those skills related to programming, providing more communication skills and producing more engagement and motivation while using the platform. © 2019 Wiley Periodicals, Inc.";"10613773";3;"Spain";"Scopus"
"201";"Effectiveness of gamification for flood emergency planning in the disaster risk reduction area";"Arinta R.R., Emanuel A.W.R.,";2020;"Article";"International Journal of Engineering Pedagogy";"English";"flood; Gamification; natural disaster";"Natural disasters are something that is not easy to predict, and one of them is a flood. Disaster risk reduction is the concept of how people minimize accidents and victims affected by disasters. The objective of this study is to utilize gamification to increase user effectiveness and to give an explanation of disaster preparedness for residents who live in the rural area. Gamification design consisting of game mechanics and dynamic games can increase user interest in education. This research was conducted at the disaster preparedness participant school with 65 participants, along with 21 communities affected by the flood disaster. The evaluation results in the aspect of usefulness (UU) gets the highest average value of 4,1225 or 83.19% of respondents to agree (very satisfied). With the usefulness, along with ease of usefulness being the most upper aspect from USE evaluation will help to facilitate the learning process and the process of accessing information and learning material. The results showed that gamification could increase the effectiveness in terms of time by 89.77% of information and knowledge about disaster risk and disaster preparedness to the public. © 2020 Kassel University Press GmbH. All rights reserved.";"21924880";NA;"Indonesia";"Scopus"
"202";"Gamification and computer science students' activity";"Garcia-Iruela M., Fonseca M.J., Hijon-Neira R., Chambel T.,";2020;"Article";"IEEE Access";"English";"gamification; higher education; Student activity";"Students' participation and motivation are of great importance in their learning process. The decrease in attendance and difficulties in stimulating students' activity makes it necessary to find new methodologies that can solve these problems. The use of game mechanics in non-ludic environments (Gamification) has begun to be of great interest in research, since it could increase the motivation and therefore the activity of the students. This study tries to verify if there is an existing relationship between gamification and a possible increase in student activity or between the cessation of gamification and student activity. In addition, it evaluates whether a greater student activity corresponds to a greater learning improvement. In the obtained results, no significant differences were found between the methodology or the activity with a learning improvement. According to the study, the simple use of gamified elements does not necessarily imply a solution to the problems posed. The students' activity in a course of these characteristics does not imply a better learning improvement, the importance lies in the quality of the activity generated and not in the quantity. © 2013 IEEE.";"21693536";2;"Spain";"Scopus"
"203";"Game-based learning and gamification to improve skills in early years education";"Lamrani R., Abdelwahed E.H.,";2020;"Article";"Computer Science and Information Systems";"English";"Early childhood education; Educationaneuroscience; Gamification; Pillars of learning; Serious games";"Early childhood education has become a prevalent public policy issue. It has a serious impact on the child's personality, upbringing, education, socialization, development, and academic success from the preschool period to the university and beyond. In general, traditional teaching methods usually have a fixed learning structure which disables the child to be motivated, creative and innovative. Learners receive theoretical rather than practical instructions, which discourage them from keeping and recalling concepts and information more quickly. Moreover, traditional teaching usually lacks attracting the full attention of learners which decreases their interaction, engagement and investment in the content. Thus, the development of innovative approaches offering better education is an effective way to address this problem. On the other hand, recent researches in the fields of cognitive science and educational neuroscience show that play-based learning is a promising approach to use in early childhood education. Four key success factors for learning have been identified to strengthen children's skills, namely attention, active engagement, feedback, and consolidation. Thus, the proposed approach presents a digital play-based learning approach deploying serious games augmenting the pedagogical aspect of the Montessori approach. Our purpose is to improve children's skills in their early years education through play-based learning and gamification. It aims to provide children with a rich variety of serious gaming activities and challenging experiences in an interactive environment. We developed several serious games based on Montessori pedagogical principal and the four pillars of learning. For the evaluation, we have chosen a representative sample of children from rural regions. © 2020, ComSIS Consortium. All rights reserved.";"18200214";1;"Morocco";"Scopus"
"204";"Psychiatry gamification from blended learning models and efficacy of this program on students";"Mosalanejad L., Abdollahifard S., Abdian T.,";2020;"Article";"Journal of Education and Health Promotion";"English";"Blended learning; education; flex model; gamification; students";"BACKGROUND: New gamification technology with a detailed understanding of the goals and prospects, and with the help of game elements and techniques, leads to promotion of motivation and participation, and ultimately behavior change. Therefore, this study aimed to evaluate the implementation of a mental gamification from blended learning based on the flex model and efficacy of this program on students. METHODS: In this study, with the design of mental illness lessons for undergraduate and executive groups, using flex model, two parts of technical and educational design were used. In the technical section, three parts on dynamics, mechanisms, and elements of gaming were considered. Intervention was studied on different groups of medical students including medical, health, and laboratory sciences. Effect of this educational program and its impact on their students' learning, motivation, and satisfaction was studied using quantitative and qualitative analyses. RESULTS: The results of the students' prospective about the efficacy of the method showed that the mean scores of most of the items were higher than the average. This implies that students' attitude toward using gamification was positive. In the other part, the qualitative results of the study were analyzed and the students' analysis of their advantages and disadvantages and their perceptions on the impact of the intervention was examined. CONCLUSION: Based on the flex model, mental gamification based on blended learning is effective in shaping the students' satisfaction. © 2020 Wolters Kluwer Medknow Publications. All rights reserved.";"22779531";2;"Iran";"Scopus"
"205";"Gamification of formative feedback in language arts and mathematics classrooms: Application of the learning error and formative feedback (LEAFF) model";"Chu M.-W., Fowler T.A.,";2020;"Article";"International Journal of Game-Based Learning";"English";"Formative feedback; Formative feedback model; Gamification; Language arts; Learning error; Mathematics";"The use of computer games in education has been increasing in popularity during the past decade. Game-based learning environments are designed to teach specific knowledge content and skill-based learning outcomes using game elements. One main reason for using game-based learning environments is to increase student motivation and engagement while teaching learning outcomes. Many of the game-based learning environments are designed so that students will reach maximum flow, which is defined as students being so completely immersed in that game that they do not notice that they are learning. These learning environments have been shown to improve many behaviour and cognitive learning outcomes. While game-based learning has many benefits, some educational researchers have indicated that it is often very costly to develop a complex game-based assessment to teach a few learning outcomes. Hence, in some cases it is more beneficial to approach the use of computer games in education using gamification. Copyright © 2020, IGI Global.";"21556849";1;"Canada";"Scopus"
"206";"Design of smart gamification in village tourism: An Indonesian case study";"Bahtiar A.R., Segara A.J.T., Suyoto,";2020;"Review";"International Journal of Engineering Pedagogy";"English";"Farming; Reward; Village tourism; —Gamification";"In 2018, public interest in Indonesia tourism reached 303 403 888 people. The benefits of tourist destinations in Indonesia finally form three patterns, namely natural, cultural, and human-made. City and village tourism are very popular with the community because of the high interest of the community to capture the moments of Instagram able and viral tourism spots. One of them is village tourism. For people who are educated with life in the village, it is necessary to make it more interesting with gamification. In this study, the aim was to change the pattern of visitors' activities, which initially only took pictures but were also invited to explore the village potential through a mobile application. Also, this study is used to improve and help preserve and introduce village tourism potential. Gamification can be an alternative to developing village tourism potential. A common occurrence in tourist villages is a lack of management innovation to add village tourism potential to visitors further. So, we design mobile village tourism for village education. This activity is an education that contains planting plants. The results of this application are of rice planting and fruit picking games. Each set consists of two levels. Level 1 includes educational games and level 2 games about team cohesiveness. Each game will offer a reward. The rewards that we design are based on prizes that are liked by elementary school students. © 2020 Kassel University Press GmbH. All rights reserved.";"21924880";NA;"Indonesia";"Scopus"
"207";"Hybridizing Cooperative Learning, Adventure Education, and Gamification through orienteering races [Hibridando el Aprendizaje Cooperativo, la Educación Aventura y la Gamificación a través de la carrera de orientación]";"Prieto J.L., González-Víllora S., Fernández-Río J.,";2020;"Article";"Retos";"Spanish";"Educational innovation; New advanced technologies; Pedagogical models; Secondary education";"Physical activity practice in the outdoors does not guarantee students' learning, since it can be reduced to technical skills or pleasant sensations. This article presents an educative innovation proposal, which aims to adapt the rules of orienteering races to the school environment; it promotes the development of social and interpersonal skills, as well as the understanding, preservation, and appreciation of the richness of the outdoors. To achieve it, Adventure Education, experiential learning, has been hybridized with Cooperative Learning, promoting interpersonal connections, and Gamification, providing a playful distribution of roles and the use of new technologies for self-assessment. Practical guidelines are presented to guide an educational intervention both in the regulations (objectives, participants, and beginning protocol), in the use of materials and spaces (incorporating self-constructed materials: consumer education; mobile apps: appropriate instruction in new technologies), and in formative and shared assessment. © Copyright: Federación Española de Asociaciones de Docentes de Educación Física (FEADEF)";"15791726";5;"Spain";"Scopus"
"208";"'Playing with little behaviors'; Physical activity promotion by gamified education in young boys";"Pourabbasi A., Amirkhani M., Nouriyengejeh S.,";2020;"Article";"International Journal of Preventive Medicine";"English";"Adolescent; gamification; physical activity; schools";"Physical activity is affecting every aspect of our life. A sedentary lifestyle can be the risk factor for noncommunicable diseases (NCD) or premature death all over the world. Several studies demonstrate that school-based physical activity promotion is an important solution to make healthy behaviors, especially in children and adolescents. In this vein, the current research evaluates a model for physical activity, which is promoted through a game among high school students. Methods: In this study, 47 high school's 10th-grade boys from Tehran were requited. The game scenario included the suggestion of some behaviors which can increase daily physical activity by each student, like or dislike each behavior by other students, counting likes, selecting the most-liked behaviors, and rewarding their proposers. After a week, the behavioral recall was assessed and compared with a control group who had been heard these behaviors in the class without gamification. Results: The participants in the game could recall physical activity behaviors significantly more than peers in the control group. Conclusions: The findings show gamification could significantly improve the effectiveness of education for normal behaviors in physical activity. © 2020 BMJ Publishing Group. All rights reserved.";"20087802";NA;"Iran";"Scopus"
"209";"The use of gamification in xMOOCs about energy: Effects and predictive models for participants' learning";"Rincón-Flores E.G., Mena J., Ramírez-Montoya M.S., Velarde R.R.,";2020;"Article";"Australasian Journal of Educational Technology";"English";"Gamification in education; Gamified challenge; Higher education; MOOCs; Teaching methods";"Open access education has significantly grown in strength as a new way of fostering innovation in schools. Such is the case of massive open online courses (MOOCs), which have the added benefit of encouraging the democratisation of learning. In this sense, the Bi-National Laboratory on Smart Sustainable Energy Management and Technology Training between Mexico and the United States of America was launched with the purpose of trying MOOC technology and measuring its impact on the academic, business, and social sectors. Under this scenario, this study aimed to show the relationship between using gamification and level of performance in a MOOC on energy topics. The methodology was quantitative, using the course analytical data for socio-demographic information and predictive models. A total of 6246 participants enrolled in the MOOC and 1060 finished it. The results showed that participants aged between 20 and 50 had the highest completion rates in the gamified challenge; the higher academic degree, the more inclined participants were to solve the gamified challenge; and no such distinction exists by gender. Articles published in the Australasian Journal of Educational Technology (AJET) are available under Creative Commons Attribution Non-Commercial No Derivatives Licence (CC BY-NC-ND 4.0). © 2020 Australasian Society for Computers in Learning in Tertiary Education (ASCILITE).";"14495554";3;"Spain";"Scopus"
"210";"Applying social-gamification for interactive learning in tuberculosis education";"Sudana D., Emanuel A.W.R., Suyoto, Fornia A.S.,";2020;"Article";"International Journal of Advanced Computer Science and Applications";"English";"Education; Gamification; Mobile application; Social-media; Tuberculosis";"There are several methods of education for tuberculosis, and one of them is through the DOTS (Direct Observed Treatment Shortcourse) program. The management of tuberculosis education through the DOTS program is performed in clinics and hospitals only to patients and their families. The purpose of this study is to describe the development and testing of a prototype (social-game education) for interactive education for tuberculosis patients in particular and the general public. The data collection process is through direct observation of tuberculosis patients and health professionals (doctors, nurses, and DOTS health workers). Challenge the game in the prototype was provided with content that contained tuberculosis information that had been previously validated by a specialist. In addition to tuberculosis information as the main content, two important elements are making up this prototype, which are gamification and social media elements. In the game elements, this study adopted elements of the leaderboard, badge/achievement, challenge, and level. As for the third element, social media includes likes, comments, and shares. Prototype application testing was conducted on two participant groups (N = 48) consisting of 23 tuberculosis patients and 25 random participants. By using the user experience questionnaire (UEQ) technique, this research focuses on identifying the user's motivation in capturing compositional information as well as the clarity of the prototype. With a confidence interval of 5% (p = 0.05) per scale. The results indicate that participants have a high level of motivation towards the prototype; this is seen in the rating scale of stimulation with an average of 1.578. Likewise the effectiveness level of information in the rating scale of perspicuity has a mean of 1.224 also has a rate that is quite effective. © 2020, Science and Information Organization.";"2158107X";NA;"Indonesia";"Scopus"
